commit_hash,commit_timestamp,commit_user,commit_message,file_changed
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",docker-compose.yml
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",scripts/create-dbs.sql
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",scripts/sql_db_tool/2-load_commits.sql
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",scripts/sql_db_tool/chinook_psql_load.sql
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",.env.example
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",backend/app/app/db/vector_db_pdf_ingestion.py
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",backend/app/app/schemas/tool_schemas/pdf_tool_schema.py
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",backend/app/app/tool_constants/tutorial_data/commit_history.csv
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",backend/app/app/tool_constants/tutorial_data/setup_development.md
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",backend/app/app/tool_constants/tutorial_data/sql_tool.md
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",docs/docusaurus/docs/advanced/overview_codebase.md
